30.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: List<String> strings = StringArrayTest.generateStringArray(10); System.assertEquals(strings.size(),10); System.assertEquals(strings[0],'Test 0');
01:37:08.1 (1022722)|USER_INFO|[EXTERNAL]|0057F000000jFC7|tran.binh@mulodo.com|Pacific Standard Time|GMT-07:00
01:37:08.1 (1046424)|EXECUTION_STARTED
01:37:08.1 (1050799)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
01:37:08.1 (1177416)|VARIABLE_SCOPE_BEGIN|[1]|strings|List<String>|true|false
01:37:08.1 (1296799)|HEAP_ALLOCATE|[72]|Bytes:3
01:37:08.1 (1336085)|HEAP_ALLOCATE|[77]|Bytes:152
01:37:08.1 (1351150)|HEAP_ALLOCATE|[342]|Bytes:408
01:37:08.1 (1364921)|HEAP_ALLOCATE|[355]|Bytes:408
01:37:08.1 (1381867)|HEAP_ALLOCATE|[467]|Bytes:48
01:37:08.1 (1408385)|HEAP_ALLOCATE|[139]|Bytes:6
01:37:08.1 (1427680)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
01:37:08.1 (1517896)|STATEMENT_EXECUTE|[1]
01:37:08.1 (1519850)|STATEMENT_EXECUTE|[1]
01:37:08.1 (1568210)|HEAP_ALLOCATE|[50]|Bytes:5
01:37:08.1 (1590502)|HEAP_ALLOCATE|[56]|Bytes:5
01:37:08.1 (1598273)|HEAP_ALLOCATE|[64]|Bytes:7
01:37:08.1 (1615053)|SYSTEM_MODE_ENTER|false
01:37:08.1 (1630291)|HEAP_ALLOCATE|[1]|Bytes:5
01:37:08.1 (5528192)|HEAP_ALLOCATE|[1]|Bytes:1
01:37:08.1 (5538325)|HEAP_ALLOCATE|[1]|Bytes:4
01:37:08.1 (5551418)|METHOD_ENTRY|[1]|01p7F000009200H|StringArrayTest.StringArrayTest()
01:37:08.1 (5558566)|STATEMENT_EXECUTE|[1]
01:37:08.1 (5563701)|STATEMENT_EXECUTE|[1]
01:37:08.1 (5568095)|METHOD_EXIT|[1]|StringArrayTest
01:37:08.1 (5589088)|METHOD_ENTRY|[1]|01p7F000009200H|StringArrayTest.generateStringArray(Integer)
01:37:08.1 (5609835)|VARIABLE_SCOPE_BEGIN|[2]|n|Integer|false|false
01:37:08.1 (5630923)|VARIABLE_ASSIGNMENT|[2]|n|10
01:37:08.1 (5639594)|STATEMENT_EXECUTE|[2]
01:37:08.1 (5640789)|STATEMENT_EXECUTE|[4]
01:37:08.1 (5646489)|HEAP_ALLOCATE|[4]|Bytes:4
01:37:08.1 (5685870)|VARIABLE_SCOPE_BEGIN|[4]|mylist|List<String>|true|false
01:37:08.1 (5720769)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (5734122)|VARIABLE_ASSIGNMENT|[4]|mylist|[]|0x2080d6fe
01:37:08.1 (5741438)|STATEMENT_EXECUTE|[5]
01:37:08.1 (5744244)|VARIABLE_SCOPE_BEGIN|[5]|i|Integer|false|false
01:37:08.1 (5751250)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (5755509)|VARIABLE_ASSIGNMENT|[5]|i|0
01:37:08.1 (5762085)|STATEMENT_EXECUTE|[5]
01:37:08.1 (5763103)|STATEMENT_EXECUTE|[6]
01:37:08.1 (5765449)|HEAP_ALLOCATE|[6]|Bytes:4
01:37:08.1 (5811382)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (5829345)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (5833526)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (5843944)|VARIABLE_ASSIGNMENT|[6]|s1|"Test0"
01:37:08.1 (5848774)|STATEMENT_EXECUTE|[7]
01:37:08.1 (5870730)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (5877516)|STATEMENT_EXECUTE|[8]
01:37:08.1 (5883130)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (5915739)|USER_DEBUG|[8]|DEBUG|Test0
01:37:08.1 (5924645)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (5930335)|VARIABLE_ASSIGNMENT|[5]|i|1
01:37:08.1 (5935622)|STATEMENT_EXECUTE|[5]
01:37:08.1 (5936652)|STATEMENT_EXECUTE|[6]
01:37:08.1 (5945822)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (5954019)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (5957584)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (5964361)|VARIABLE_ASSIGNMENT|[6]|s1|"Test1"
01:37:08.1 (5968188)|STATEMENT_EXECUTE|[7]
01:37:08.1 (5972558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (5976796)|STATEMENT_EXECUTE|[8]
01:37:08.1 (5979302)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (5985757)|USER_DEBUG|[8]|DEBUG|Test1
01:37:08.1 (5991304)|HEAP_ALLOCATE|[5]|Bytes:4
01:37:08.1 (5995182)|VARIABLE_ASSIGNMENT|[5]|i|2
01:37:08.1 (6000348)|STATEMENT_EXECUTE|[5]
01:37:08.1 (6002487)|STATEMENT_EXECUTE|[6]
01:37:08.1 (6009908)|HEAP_ALLOCATE|[6]|Bytes:1
01:37:08.1 (6017478)|HEAP_ALLOCATE|[6]|Bytes:5
01:37:08.1 (6021091)|VARIABLE_SCOPE_BEGIN|[6]|s1|String|false|false
01:37:08.1 (6027165)|VARIABLE_ASSIGNMENT|[6]|s1|"Test2"
01:37:08.1 (6030812)|STATEMENT_EXECUTE|[7]
01:37:08.1 (6034383)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
01:37:08.1 (6038646)|STATEMENT_EXECUTE|[8]
01:37:08.1 (6040795)|HEAP_ALLOCATE|[8]|Bytes:5
01:37:08.1 (6045667)|USER_DEBUG|[8]|DEBUG|Test2
01:37:08.1 (6050031)|HEAP_ALLOCATE|[5]|Bytes:4
